Orator,Entity Type,Entity Phrase,Entity Root,Grouping,Seed Term,Sentence
bush,NORP,all New Yorkers,New Yorkers,,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
bush,PERSON,Governor George Pataki,Governor George Pataki,,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
bush,PERSON,Mayor Rudolph Giuliani,Mayor Rudolph Giuliani,,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
bush,ORG,Congress,Congress,,,"As a symbol of America's resolve, my administration will work with Congress, and these two leaders, to show the world that we will rebuild New York City."
bush,GPE,New York City,New York City,,,"As a symbol of America's resolve, my administration will work with Congress, and these two leaders, to show the world that we will rebuild New York City."
bush,GPE,the United States of America,the United States of America,,,"As long as the United States of America is determined and strong, this will not be an age of terror; this will be an age of liberty, here and across the world."
bush,PERSON,George Howard,George Howard,,,": It is the police shield of a man named George Howard, who died at the World Trade Center trying to save others."
bush,PERSON,Arlene,Arlene,,,"It was given to me by his mom, Arlene, as a proud memorial to her son."
bush,GPE,the United States of America,the United States of America,,,"In all that lies before us, may God grant us wisdom, and may He watch over the United States of America."
binladen,PERSON,Muhammad,Muhammad,,,I declare that there is no God but Allah and that Muhammad is his subject and messenger.
binladen,PERSON,Ye,Ye,,,"And thank God who said: ""Ye are the best of peoples evolved for mankind, enjoining what is right, forbidding what is wrong, and believing in God."""
binladen,PERSON,his Prophet,Prophet,,,"Prayers and peace be upon his Prophet who said: ""People who see an unjust person and do nothing are about to be punished by God."""
binladen,NORP,Muslims,Muslims,,,"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become"
binladen,NORP,Jews,Jews,,,"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become"
binladen,NORP,Christians,Christians,,,"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become"
binladen,GPE,Palestine,Palestine,,,Your blood has been spilled in Palestine and Iraq.
binladen,GPE,Iraq,Iraq,,,Your blood has been spilled in Palestine and Iraq.
binladen,GPE,Qana,Qana,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Lebanon,Lebanon,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Tajikistan,Tajikistan,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Burma,Burma,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Kashmir,Kashmir,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Assam,Assam,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,the Philippines,Philippines,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,PERSON,Fatani,Fatani,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Ogaden,Ogaden,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Somalia,Somalia,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Eritrea,Eritrea,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,Chechnya,Chechnya,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,the United States,the United States,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,ORG,the unfair United Nations,United Nations,,,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,NORP,Muslims,Muslims,,,"That alerted Muslims to the fact that they are the main target of the Jewish-crusade alliance aggression, and all the false claims about human rights fell under the blows and massacres committed against Muslims everywhere."
binladen,NORP,Muslims,Muslims,,,"That alerted Muslims to the fact that they are the main target of the Jewish-crusade alliance aggression, and all the false claims about human rights fell under the blows and massacres committed against Muslims everywhere."
binladen,NORP,the Muslims,Muslims,,,"The latest aggression was one of the worst catastrophes to befall the Muslims since the death of the Prophet, may God's prayers and blessings be upon him."
binladen,PERSON,the Prophet,Prophet,,,"The latest aggression was one of the worst catastrophes to befall the Muslims since the death of the Prophet, may God's prayers and blessings be upon him."
binladen,GPE,[Saudi Arabia,Saudi Arabia,,,"It was the occupation of the land of the two holy mosques [Saudi Arabia], the cradle of Islam, the scene of the revelation, the source of the message, and the site of the holy Ka'bah, the qiblah [to which Muslims turn in prayer] of all Muslims, by Christian armies of the Americans and their allies."
binladen,NORP,Muslims,Muslims,,,"It was the occupation of the land of the two holy mosques [Saudi Arabia], the cradle of Islam, the scene of the revelation, the source of the message, and the site of the holy Ka'bah, the qiblah [to which Muslims turn in prayer] of all Muslims, by Christian armies of the Americans and their allies."
binladen,NORP,all Muslims,Muslims,,,"It was the occupation of the land of the two holy mosques [Saudi Arabia], the cradle of Islam, the scene of the revelation, the source of the message, and the site of the holy Ka'bah, the qiblah [to which Muslims turn in prayer] of all Muslims, by Christian armies of the Americans and their allies."
binladen,NORP,the Americans,Americans,,,"It was the occupation of the land of the two holy mosques [Saudi Arabia], the cradle of Islam, the scene of the revelation, the source of the message, and the site of the holy Ka'bah, the qiblah [to which Muslims turn in prayer] of all Muslims, by Christian armies of the Americans and their allies."
binladen,GPE,the United States,the United States,,,"In the light of the reality we are going through and the blessed, sweeping awakening in the world at large and in the Islamic world in particular, I meet with you today after a long absence dictated by the unjust crusade campaign led by the United States against the ulema and advocates of Islam to prevent them from instigating the Islamic nation against its enemies, as did their predecessors, may God have mercy on their souls, such as Ibn-Taymiyah and"
binladen,PERSON,the ulema,ulema,,,"In the light of the reality we are going through and the blessed, sweeping awakening in the world at large and in the Islamic world in particular, I meet with you today after a long absence dictated by the unjust crusade campaign led by the United States against the ulema and advocates of Islam to prevent them from instigating the Islamic nation against its enemies, as did their predecessors, may God have mercy on their souls, such as Ibn-Taymiyah and"
binladen,GPE,Ibn-Taymiyah,Ibn-Taymiyah,,,"In the light of the reality we are going through and the blessed, sweeping awakening in the world at large and in the Islamic world in particular, I meet with you today after a long absence dictated by the unjust crusade campaign led by the United States against the ulema and advocates of Islam to prevent them from instigating the Islamic nation against its enemies, as did their predecessors, may God have mercy on their souls, such as Ibn-Taymiyah and"
binladen,PERSON,the mujahid Shaykh 'Abdallah 'Azzam,Azzam,,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,PERSON,the Prophet,Prophet,,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,PERSON,the mujahid Shaykh ',mujahid Shaykh ',,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,PERSON,Umar 'Abd-al Rahman,Abd-al Rahman,,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,GPE,the United States,the United States,,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,GPE,the United States,the United States,,,"And, at the behest of the United States, a very large number of ulema, advocates of the call, and youth were arrested in the land of the two holy mosques."
binladen,PERSON,Shaykh Salman,Shaykh Salman,,,Prominent among them are Shaykh Salman
binladen,PERSON,Shaykh Safar al-Hawali,Shaykh Safar al-Hawali,,,"al-'Awdah, Shaykh Safar al-Hawali, and their brother."
binladen,NORP,Muslims,Muslims,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,Pakistan,Pakistan,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,Sudan,Sudan,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,Afghanistan,Afghanistan,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,Khorasan,Khorasan,,,", a safe base was found in Khorasan [Afghanistan], on the soil of the Hindu Kush where, thanks be to God, the largest heretic power on earth was destroyed and where the superpower myth vanished in the face of the mujahidin's outcry of Allah Akbar [God is great]."
binladen,GPE,[Afghanistan,Afghanistan,,,", a safe base was found in Khorasan [Afghanistan], on the soil of the Hindu Kush where, thanks be to God, the largest heretic power on earth was destroyed and where the superpower myth vanished in the face of the mujahidin's outcry of Allah Akbar [God is great]."
binladen,GPE,Afghanistan,Afghanistan,,,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,PERSON,the Prophet,Prophet,,,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,GPE,[now Israel,Israel,,,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,GPE,Riyadh,Riyadh,,,"The explosions of Riyadh and al-Khubar were only a small indication of that torrential flood resulting from the bitter suffering, repression, coercion, great injustice, disgraceful debauchery, and poverty."
binladen,GPE,al-Khubar,al-Khubar,,,"The explosions of Riyadh and al-Khubar were only a small indication of that torrential flood resulting from the bitter suffering, repression, coercion, great injustice, disgraceful debauchery, and poverty."
binladen,NORP,the Islamic Shari'ah laws,Islamic Shari'ah laws,,,"Its suspension of the Islamic Shari'ah laws, replacing them with temporal laws, and its bloody confrontation with the truthful ulema and good youth — and God is above everyone."
