progress,function,hostile,Interesting,text
2%,,,,"America has stood down enemies before, and we will do so this time."
2%,,,,"None of us will ever forget this day, yet we go forward to defend freedom and all that is good and just in our world."
2%,,,,Thank you.
2%,,,,Good night.
2%,elevation,,,And God bless America.
2%,,,,We are here in the middle hour of our grief.
3%,,,,"So many have suffered so great a loss, and today we express our nation's sorrow."
3%,,,,"We come before God to pray for the missing and the dead, and for those who loved them."
3%,,,,"On Tuesday, our country was attacked with deliberate and massive cruelty."
3%,,,,We have seen the images of fire and ashes and bent steel.
3%,,,,"Now come the names, the list of casualties we are only beginning to read: They are the names of men and women who began their day at a desk or in an airport, busy with life."
3%,,,,"They are the names of people who faced death and in their last moments called home to say, be brave"
3%,,,,and I love you.
3%,,,,They are the names of passengers who defied their murderers and prevented the murder of others on the ground.
3%,,,,They are the names of men and women who wore the uniform of the United States and died at their posts.
3%,,,,They are the names of rescuers -- the ones whom death found running up the stairs and into the fires to help others.
3%,,,,We will read all these names.
3%,,,,"We will linger over them and learn their stories, and many Americans will weep."
3%,,,,"To the children and parents and spouses and families and friends of the lost, we offer the deepest sympathy of the nation."
3%,,,,"And I assure you, you are not alone."
3%,,,,"Just three days removed from these events, Americans do not yet have the distance of history, but our responsibility to history is already clear:"
3%,,,,to answer these attacks and rid the world of evil.
4%,,,,War has been waged against us by stealth and deceit and murder.
4%,,,,"This nation is peaceful, but fierce when stirred to anger."
4%,,,,This conflict was begun on the timing and terms of others; it will end in a way and at an hour of our choosing.
4%,,,,"Our purpose as a nation is firm, yet our wounds as a people are recent and unhealed and lead us to pray."
4%,,,,"In many of our prayers this week, there's a searching and an honesty."
4%,,,,"At St. Patrick's Cathedral in New York, on Tuesday, a woman said, ""I pray to God to give us a sign that He's still here."""
4%,,,,"Others have prayed for the same, searching hospital to hospital, carrying pictures of those still missing."
4%,,,,God's signs are not always the ones we look for.
4%,,,,"We learn in tragedy that His purposes are not always our own, yet the prayers of private suffering, whether in our homes or in this great cathedral are known and heard and understood."
4%,,,,There are prayers that help us last through the day or endure the night.
4%,,,,"There are prayers of friends and strangers that give us strength for the journey, and there are prayers that yield our will to a Will greater than our own."
4%,,,,This world He created is of moral design.
4%,,,,Grief and tragedy and hatred are only for a time.
4%,,,,"Goodness, remembrance and love have no end, and the Lord of life holds all who die and all who mourn."
4%,,,,It is said that adversity introduces us to ourselves.
4%,,,,This is true of a nation as well.
5%,elevation,,,"In this trial, we have been reminded and the world has seen that our fellow Americans are generous and kind, resourceful and brave."
5%,elevation,,,"We see our national character in rescuers working past exhaustion, in long lines of blood donors, in thousands of citizens who have asked to work and serve in any way possible."
5%,elevation,,,And we have seen our national character in eloquent acts of sacrifice:
5%,elevation,,,"Inside the World Trade Center, one man who could have saved himself stayed until the end and at the side of his quadriplegic friend."
5%,elevation,,,A beloved priest died giving the last rites to a firefighter.
5%,elevation,,,"Two office workers, finding a disabled stranger, carried her down 68 floors to safety."
5%,elevation,,,A group of men drove through the night from Dallas to Washington to bring skin grafts for burned victims.
5%,elevation,,,"In these acts and many others, Americans showed a deep commitment to one another and an abiding love for our country."
5%,elevation,,,"Today, we feel what Franklin Roosevelt called, ""the warm courage of national unity."
5%,,,,""" This is a unity of every faith and every background."
5%,,,,It has joined together political parties and both houses of Congress.
5%,elevation,,,"It is evident in services of prayer and candlelight vigils and American flags, which are displayed in pride and waved in defiance."
5%,elevation,,,Our unity is a kinship of grief and a steadfast resolve to prevail against our enemies.
5%,,,,And this unity against terror is now extending across the world.
5%,elevation,,,"America is a nation full of good fortune, with so much to be grateful for, but we are not spared from suffering."
5%,,,,"In every generation, the world has produced enemies of human freedom."
6%,elevation,,,"They have attacked America because we are freedom's home and defender, and the commitment of our Fathers is now the calling of our time."
6%,elevation,,,"On this national day of prayer and remembrance, we ask Almighty God to watch over our nation and grant us patience and resolve in all that is to come."
6%,,,,We pray that He will comfort and console those who now walk in sorrow.
6%,,,,"We thank Him for each life we now must mourn, and the promise of a life to come."
6%,elevation,,,"As we've been assured, neither death nor life nor angels nor principalities, nor powers nor things present nor things to come nor height nor depth can separate us from God's love.1"
6%,,,,May He bless the souls of the departed.
6%,,,,May He comfort our own.
6%,,,,And may He always guide our country.
6%,elevation,,,God bless America.
6%,,,,Good morning.
6%,,,,"This weekend I am engaged in extensive sessions with members of my National Security Council, as we plan a comprehensive assault on terrorism."
6%,,,,This will be a different kind of conflict against a different kind of enemy.
6%,,,,"This is a conflict without battlefields or beachheads, a conflict with opponents who believe they are invisible."
6%,,,,"Yet, they are mistaken."
6%,,hostile,,"They will be exposed, and they will discover what others in the past have learned: Those who make war against the United States have chosen their own destruction."
6%,,,,"Victory against terrorism will not take place in a single battle, but in a series of decisive actions against terrorist organizations and those who harbor and support them."
7%,,,,We are planning a broad and sustained campaign to secure our country and eradicate the evil of terrorism.
7%,,,,And we are determined to see this conflict through.
7%,elevation,,,Americans of every faith and background are committed to this goal.
7%,,,,Yesterday I visited the site of the destruction in New York City and saw an amazing spirit of sacrifice and patriotism and defiance.
7%,elevation,,,"I met with rescuers who have worked past exhaustion, who cheered for our country and the great cause we have entered."
7%,elevation,,,"In Washington, D.C., the political parties and both Houses of Congress have shown a remarkable unity, and I'm deeply grateful."
7%,elevation,,,A terrorist attack designed to tear us apart has instead bound us together as a nation.
7%,elevation,,,"Over the past few days, we have learned much about American courage -- the courage of firefighters and police officers who suffered so great a loss, the courage of passengers aboard United 93 who may well have fought with the hijackers and saved many lives on the ground."
7%,,,,"Now we honor those who died, and prepare to respond to these attacks on our nation."
7%,,,,I will not settle for a token act.
7%,,,,"Our response must be sweeping, sustained, and effective."
7%,,,,"We have much do to, and much to ask of the American people."
7%,,,,You will be asked for your patience -- for the conflict will not be short.
7%,,,,You will be asked for resolve -- for the conflict will not be easy.
7%,,,,"You will be asked for your strength, because the course to victory may be long."
7%,elevation,,,"In the past week, we have seen the American people at their very best everywhere in America."
8%,elevation,,,"Citizens have come together to pray, to give blood, to fly our country's flag."
8%,elevation,,,Americans are coming together to share their grief and gain strength from one another.
8%,elevation,,,"Great tragedy has come to us, and we are meeting it with the best that is in our country, with courage and concern for others: because this is America."
8%,,,,This is who we are.
8%,othering,,,This is what our enemies hate and have attacked.
8%,elevation,,,And this is why we will prevail.
8%,,,,Thank you for listening.
8%,,,,Thank you all very much for your hospitality.
8%,,,,We've just had a -- wide-ranging discussions on -- on the matter at hand.
8%,,,,"Like the good folks standing with me, the American people were appalled and outraged at last Tuesday's attacks."
8%,,,,And so were Muslims all across the world.
8%,elevation,,,"Both Americans and Muslim friends and citizens, tax-paying citizens, and Muslims in nations were just appalled and could not believe what -- what we saw on our TV screens."
8%,,,,These acts of violence against innocents violate the fundamental tenets of the Islamic faith.
8%,,,,And it's important for my fellow Americans to understand that.
8%,,,,"The English translation is not as eloquent as the original Arabic, but let me quote from the Koran, itself: In the long run, evil in the extreme will be the end of those who do evil."
8%,,,,For that they rejected the signs of Allah and held them up to ridicule.1
9%,,,,The face of terror is not the true faith of Islam.
9%,,,,That's not what Islam is all about.
9%,elevation,,,Islam is peace.
9%,othering,,,These terrorists don't represent peace.
9%,othering,,,They represent evil and war.
9%,elevation,,,When we think of Islam we think of a faith that brings comfort to a billion people around the world.
9%,,,,Billions of people find comfort and solace and peace.
9%,,,,And that's made brothers and sisters out of every race -- out of every race.
9%,elevation,,,"America counts millions of Muslims amongst our citizens, and Muslims make an incredibly valuable contribution to our country."
9%,,,,"Muslims are doctors, lawyers, law professors, members of the military, entrepreneurs, shopkeepers, moms and dads."
9%,elevation,,,And they need to be treated with respect.
9%,elevation,,,"In our anger and emotion, our fellow Americans must treat each other with respect."
9%,,,,Women who cover their heads in this country must feel comfortable going outside their homes.
9%,,,,Moms who wear cover must be not intimidated in America.
9%,,,,That's not the America
9%,,,,I know.
10%,,,,That's not the America I value.
10%,,,,"I've been told that some fear to leave; some don't want to go shopping for their families; some don't want to go about their ordinary daily routines because, by wearing cover, they're afraid they'll be intimidated."
10%,,,,That should not and that will not stand in America.
10%,,,,"Those who feel like they can intimidate our fellow citizens to take out their anger don't represent the best of America, they represent the worst of humankind, and they should be ashamed of that kind of behavior."
10%,elevation,,,Now this is a great country.
10%,elevation,,,It's a great country because we share the same values of respect and dignity and human worth.
10%,,,,And it is my honor to be meeting with leaders who feel just the same way I do.
10%,,,,They're outraged.
10%,,,,They're sad.
10%,elevation,,,They love America just as much as I do.
10%,,,,And I want to thank you all for giving me a chance to come by.
10%,elevation,,,And may God bless us all.
10%,,,,Thank you.
10%,,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
10%,,,,"Tonight, no such report is needed."
10%,,,,It has already been delivered by the American people.
11%,elevation,,,"We have seen it in the courage of passengers, who rushed terrorists to save others on the ground -- passengers like an exceptional man named Todd Beamer."
11%,,,,"And would you please help me to welcome his wife, Lisa Beamer, here tonight."
11%,elevation,,,"We have seen the state of our Union in the endurance of rescuers, working past exhaustion."
11%,,,,"We've seen the unfurling of flags, the lighting of candles, the giving of blood, the saying of prayers -- in English, Hebrew, and Arabic."
11%,,,,We have seen the decency of a loving and giving people who have made the grief of strangers their own.
11%,elevation,,,"My fellow citizens, for the last nine days, the entire world has seen for itself the state of our Union -- and it is strong."
11%,,,,Tonight we are a country awakened to danger and called to defend freedom.
11%,,,,"Our grief has turned to anger, and anger to resolution."
11%,,,,"Whether we bring our enemies to justice, or bring justice to our enemies, justice will be done."
11%,elevation,,,I thank the Congress for its leadership at such an important time.
11%,elevation,,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
11%,,,,""" And you did more than sing; you acted, by delivering 40 billion dollars to rebuild our communities and meet the needs of our military."
11%,,,,"Speaker Hastert, Minority Leader Gephardt, Majority Leader Daschle, and Senator Lott, I thank you for your friendship, for your leadership, and for your service to our country."
11%,,,,"And on behalf of the American people, I thank the world for its outpouring of support."
11%,elevation,,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
11%,,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
12%,,,,We will not forget moments of silence and days of mourning in Australia and Africa and Latin America.
12%,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
12%,elevation,,,America has no truer friend than Great Britain.
12%,,,,"Once again, we are joined together in a great cause --"
12%,elevation,,,so honored the British Prime Minister has crossed an ocean to show his unity with America.
12%,elevation,,,"Thank you for coming, friend."
12%,othering,,,"On September the 11th, enemies of freedom committed an act of war against our country."
12%,,,,"Americans have known wars -- but for the past 136 years, they have been wars on foreign soil, except for one Sunday in 1941."
12%,,,,Americans have known the casualties of war -- but not at the center of a great city on a peaceful morning.
12%,,,,Americans have known surprise attacks -- but never before on thousands of civilians.
12%,,,,"All of this was brought upon us in a single day -- and night fell on a different world, a world where freedom itself is under attack."
12%,,,,Americans have many questions tonight.
12%,,,,Americans are asking: Who attacked our country?
12%,othering,,,The evidence we have gathered all points to a collection of loosely affiliated terrorist organizations known as al Qaeda.
12%,othering,,,"They are some of the murderers indicted for bombing American embassies in Tanzania and Kenya, and responsible for bombing the USS Cole."
12%,othering,,,Al Qaeda is to terror what the mafia is to crime.
13%,othering,,,But its goal is not making money; its goal is remaking the world -- and imposing its radical beliefs on people everywhere.
13%,othering,,,"The terrorists practice a fringe form of Islamic extremism that has been rejected by Muslim scholars and the vast majority of Muslim clerics, a fringe movement that perverts the peaceful teachings of Islam."
13%,othering,,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
13%,,,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
13%,,,,There are thousands of these terrorists in more than 60 countries.
13%,othering,,,"They are recruited from their own nations and neighborhoods and brought to camps in places like Afghanistan, where they are trained in the tactics of terror."
13%,othering,,,They are sent back to their homes or sent to hide in countries around the world to plot evil and destruction.
13%,,,,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
13%,,,,"In Afghanistan, we see al Qaeda's vision for the world."
13%,,,,Afghanistan's people have been brutalized; many are starving and many have fled.
13%,,,,Women are not allowed to attend school.
13%,,,,You can be jailed for owning a television.
13%,,,,Religion can be practiced only as their leaders dictate.
13%,,,,A man can be jailed in Afghanistan if his beard is not long enough.
13%,elevation,,,The United States respects the people of Afghanistan.
13%,othering,,,"After all, we are currently its largest source of humanitarian aid; but we condemn the Taliban regime."
14%,othering,,,"It is not only repressing its own people, it is threatening people everywhere by sponsoring and sheltering and supplying terrorists."
14%,othering,,,"By aiding and abetting murder, the Taliban regime is committing murder."
14%,,hostile,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
14%,,,,"Release all foreign nationals, including American citizens, you have unjustly imprisoned."
14%,,,,"Protect foreign journalists, diplomats, and aid workers in your country."
14%,,,,"Close immediately and permanently every terrorist training camp in Afghanistan, and hand over every terrorist, and every person in their support structure, to appropriate authorities."
14%,,,,"Give the United States full access to terrorist training camps, so we can make sure they are no longer operating."
14%,,,,These demands are not open to negotiation or discussion.
14%,,,,"The Taliban must act, and act immediately."
14%,,hostile,,"They will hand over the terrorists, or they will share in their fate."
14%,,,,I also want to speak tonight directly to Muslims throughout the world.
14%,elevation,,,We respect your faith.
14%,elevation,,,"It's practiced freely by many millions of Americans, and by millions more in countries that America counts as friends."
14%,elevation,,,"Its teachings are good and peaceful, and those who commit evil in the name of Allah blaspheme the name of Allah."
14%,othering,,,"The terrorists are traitors to their own faith, trying, in effect, to hijack Islam itself."
14%,,,,The enemy of America is not our many Muslim friends; it is not our many Arab friends.
15%,othering,,,"Our enemy is a radical network of terrorists, and every government that supports them."
15%,,hostile,,"Our war on terror begins with al Qaeda, but it does not end there."
15%,,,,"It will not end until every terrorist group of global reach has been found, stopped, and defeated."
15%,,,,"Americans are asking, why do they hate us?"
15%,othering,,,They hate what they see right here in this chamber -- a democratically elected government.
15%,,,,Their leaders are self-appointed.
15%,othering,,,"They hate our freedoms -- our freedom of religion, our freedom of speech, our freedom to vote and assemble and disagree with each other."
15%,othering,,,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
15%,othering,,,They want to drive Israel out of the Middle East.
15%,othering,,,They want to drive Christians and Jews out of vast regions of Asia and Africa.
15%,othering,,,"These terrorists kill not merely to end lives, but to disrupt and end a way of life."
15%,othering,,,"With every atrocity, they hope that America grows fearful, retreating from the world and forsaking our friends."
15%,othering,,,"They stand against us, because we stand in their way."
15%,othering,,,We are not deceived by their pretenses to piety.
15%,,,,We have seen their kind before.
15%,othering,,,They are the heirs of all the murderous ideologies of the 20th century.
16%,othering,,,"By sacrificing human life to serve their radical visions -- by abandoning every value except the will to power -- they follow in the path of fascism, Nazism, and totalitarianism."
16%,othering,,,"And they will follow that path all the way, to where it ends: in history's unmarked grave of discarded lies."
16%,,,,Americans are asking: How will we fight and win this war?
16%,,,,"We will direct every resource at our command -- every means of diplomacy, every tool of intelligence, every instrument of law enforcement, every financial influence, and every necessary weapon of war -- to the disruption and to the defeat of the global terror network."
16%,,,,"Now this war will not be like the war against Iraq a decade ago, with a decisive liberation of territory and a swift conclusion."
16%,,,,"It will not look like the air war above Kosovo two years ago, where no ground troops were used and not a single American was lost in combat."
16%,,,,Our response involves far more than instant retaliation and isolated strikes.
16%,,,,"Americans should not expect one battle, but a lengthy campaign, unlike any other we have ever seen."
16%,,,,"It may include dramatic strikes, visible on TV, and covert operations, secret even in success."
16%,,,,"We will starve terrorists of funding, turn them one against another, drive them from place to place, until there is no refuge or no rest."
16%,,,,And we will pursue nations that provide aid or safe haven to terrorism.
16%,,,,"Every nation, in every region, now has a decision to make."
16%,,hostile,,"Either you are with us, or you are with the terrorists."
16%,,hostile,,"From this day forward, any nation that continues to harbor or support terrorism will be regarded by the United States as a hostile regime."
16%,,,,Our nation has been put on notice: We're not immune from attack.
16%,,,,We will take defensive measures against terrorism to protect Americans.
17%,,,,"Today, dozens of federal departments and agencies, as well as state and local governments, have responsibilities affecting homeland security."
17%,,,,These efforts must be coordinated at the highest level.
17%,,,,"So tonight, I announce the creation of a Cabinet-level position reporting directly to me -- the Office of Homeland Security."
17%,elevation,,,"And tonight I also announce a distinguished American to lead this effort, to strengthen American security: a military veteran, an effective governor, a true patriot, a trusted friend -- Pennsylvania's Tom Ridge."
17%,,,,"He will lead, oversee, and coordinate a comprehensive national strategy to safeguard our country against terrorism, and respond to any attacks that may come."
17%,,,,These measures are essential.
17%,,,,"But the only way to defeat terrorism as a threat to our way of life is to stop it, eliminate it, and destroy it where it grows."
17%,,,,"Many will be involved in this effort, from FBI agents to intelligence operatives to the reservists we have called to active duty."
17%,,,,"All deserve our thanks, and all have our prayers."
17%,,,,"And tonight, a few miles from the damaged Pentagon, I have a message for our military: Be ready."
17%,,,,"I've called the Armed Forces to alert, and there is a reason."
17%,elevation,,,"The hour is coming when America will act, and you will make us proud."
17%,,,,"This is not, however, just America's fight."
17%,,,,And what is at stake is not just America's freedom.
17%,,,,This is the world's fight.
17%,,,,This is civilization's fight.
18%,,,,"This is the fight of all who believe in progress and pluralism, tolerance and freedom."
18%,,,,We ask every nation to join us.
18%,,,,"We will ask, and we will need, the help of police forces, intelligence services, and banking systems around the world."
18%,elevation,,,The United States is grateful that many nations and many international organizations have already responded -- with sympathy and with support.
18%,,,,"Nations from Latin America, to Asia, to Africa, to Europe, to the Islamic world."
18%,,,,Perhaps the NATO Charter reflects best the attitude of the world: An attack on one is an attack on all.
18%,elevation,,,The civilized world is rallying to America's side.
18%,,,,"They understand that if this terror goes unpunished, their own cities, their own citizens may be next."
18%,,,,"Terror, unanswered, can not only bring down buildings, it can threaten the stability of legitimate governments."
18%,,,,And you know what?
18%,,,,We're not going to allow it.
18%,,,,Americans are asking: What is expected of us?
18%,,,,"I ask you to live your lives, and hug your children."
18%,,,,"I know many citizens have fears tonight, and I ask you to be calm and resolute, even in the face of a continuing threat."
18%,,,,"I ask you to uphold the values of America, and remember why so many have come here."
18%,,,,"We are in a fight for our principles, and our first responsibility is to live by them."
19%,,,,No one should be singled out for unfair treatment or unkind words because of their ethnic background or religious faith.
19%,,,,I ask you to continue to support the victims of this tragedy with your contributions.
19%,,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
19%,,,,"The thousands of FBI agents who are now at work in this investigation may need your cooperation, and I ask you to give it."
19%,,,,"I ask for your patience, with the delays and inconveniences that may accompany tighter security; and for your patience in what will be a long struggle."
19%,,,,I ask your continued participation and confidence in the American economy.
19%,othering,,,Terrorists attacked a symbol of American prosperity.
19%,,,,They did not touch its source.
19%,elevation,,,"America is successful because of the hard work, and creativity, and enterprise of our people."
19%,elevation,,,"These were the true strengths of our economy before September 11th, and they are our strengths today."
19%,,,,"And, finally, please continue praying for the victims of terror and their families, for those in uniform, and for our great country."
19%,,,,"Prayer has comforted us in sorrow, and will help strengthen us for the journey ahead."
19%,elevation,,,Tonight I thank my fellow Americans for what you have already done and for what you will do.
19%,elevation,,,"And ladies and gentlemen of the Congress, I thank you, their representatives, for what you have already done and for what we will do together."
19%,,,,"Tonight, we face new and sudden national challenges."
19%,elevation,,,"We will come together to improve air safety, to dramatically expand the number of air marshals on domestic flights, and take new measures to prevent hijacking."
20%,elevation,,,"We will come together to promote stability and keep our airlines flying, with direct assistance during this emergency."
20%,elevation,,,We will come together to give law enforcement the additional tools it needs to track down terror here at home.
20%,elevation,,,"We will come together to strengthen our intelligence capabilities to know the plans of terrorists before they act, and to find them before they strike."
20%,elevation,,,"We will come together to take active steps that strengthen America's economy, and put our people back to work."
20%,,,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
20%,,,,"As a symbol of America's resolve, my administration will work with Congress, and these two leaders, to show the world that we will rebuild New York City."
20%,,,,"After all that has just passed -- all the lives taken, and all the possibilities and hopes that died with them -- it is natural to wonder if America's future is one of fear."
20%,,,,Some speak of an age of terror.
20%,,,,"I know there are struggles ahead, and dangers to face."
20%,,,,"But this country will define our times, not be defined by them."
20%,elevation,,,"As long as the United States of America is determined and strong, this will not be an age of terror; this will be an age of liberty, here and across the world."
20%,,,,Great harm has been done to us.
20%,,,,We have suffered great loss.
20%,,,,And in our grief and anger we have found our mission and our moment.
20%,,,,Freedom and fear are at war.
21%,,,,"The advance of human freedom -- the great achievement of our time, and the great hope of every time -- now depends on us."
21%,,,,"Our nation, this generation will lift a dark threat of violence from our people and our future."
21%,,,,"We will rally the world to this cause by our efforts, by our courage."
21%,,,,"We will not tire, we will not falter, and we will not fail."
21%,,,,"It is my hope that in the months and years ahead, life will return almost to normal."
21%,,,,"We'll go back to our lives and routines, and that is good."
21%,,,,Even grief recedes with time and grace.
21%,,,,But our resolve must not pass.
21%,,,,"Each of us will remember what happened that day, and to whom it happened."
21%,,,,We'll remember the moment the news came -- where we were and what we were doing.
21%,,,,"Some will remember an image of a fire, or a story of rescue."
21%,,,,Some will carry memories of a face and a voice gone forever.
21%,,,,And I will carry this
21%,,,,": It is the police shield of a man named George Howard, who died at the World Trade Center trying to save others."
21%,,,,"It was given to me by his mom, Arlene, as a proud memorial to her son."
21%,,,,"It is my reminder of lives that ended, and a task that does not end."
22%,,,,I will not forget this wound to our country or those who inflicted it.
22%,,,,I will not yield; I will not rest; I will not relent in waging this struggle for freedom and security for the American people.
22%,,,,"The course of this conflict is not known, yet its outcome is certain."
22%,,,,"Freedom and fear, justice and cruelty, have always been at war, and we know that God is not neutral between them."
22%,,,,"Fellow citizens, we'll meet violence with patient justice -- assured of the rightness of our cause, and confident of the victories to come."
22%,elevation,,,"In all that lies before us, may God grant us wisdom, and may He watch over the United States of America."
22%,,,,Thank you.
22%,,,,Good afternoon.
22%,,hostile,,"On my orders, the United States military has begun strikes against Al Qaeda terrorist training camps and military installations of the Taliban regime in Afghanistan."
22%,,hostile,,These carefully targeted actions are designed to disrupt the use of Afghanistan as a terrorist base of operations and to attack the military capability of the Taliban regime.
22%,elevation,,,"We are joined in this operation by our staunch friend, Great Britain."
22%,elevation,,,"Other close friends, including Canada, Australia, Germany and France, have pledged forces as the operation unfolds."
22%,,,,"More than 40 countries in the Middle East, Africa, Europe, and across Asia have granted air transit or landing rights."
22%,,,,Many more have shared intelligence.
22%,,,,We are supported by the collective will of the world.
22%,,,,"More than two weeks ago, I gave Taliban leaders a series of clear and specific demands: Close terrorist training camps; hand over leaders of the Al Qaeda network; and return all foreign nationals, including American citizens, unjustly detained in your country."
23%,,,,None of these demands was met.
23%,,hostile,,"And now, the Taliban will pay a price."
23%,othering,,,"By destroying camps and disrupting communications, we will make it more difficult for the terror network to train new recruits and coordinate their evil plans."
23%,,,,Initially the terrorists may burrow deeper into caves and other entrenched hiding places.
23%,,,,"Our military action is also designed to clear the way for sustained, comprehensive, and relentless operations to drive them out and bring them to justice."
23%,elevation,,,"At the same time, the oppressed people of Afghanistan will know the generosity of America and our allies."
23%,,,,"As we strike military targets, we will also drop food, medicine, and supplies to the starving and suffering men and women and children of Afghanistan."
23%,elevation,,,"The United States of America is a friend to the Afghan people, and we are the friends of almost a billion worldwide who practice the Islamic faith."
23%,,,TRUE,The United States of America is an enemy of those who aid terrorists and of the barbaric criminals who profane a great religion by committing murder in its name.
23%,,,,"This military action is a part of our campaign against terrorism, another front in a war that has already been joined through diplomacy, intelligence, the freezing of financial assets, and the arrests of known terrorists by law-enforcement agents in 38 countries."
23%,,,,"Given the nature and reach of our enemies, we will win this conflict by the patient accumulation of successes, by meeting a series of challenges with determination, and will, and purpose."
23%,,,,"Today we focus on Afghanistan, but the battle is broader."
23%,,,,Every nation has a choice to make.
23%,,,,"In this conflict, there is no neutral ground."
23%,,hostile,,"If any government sponsors the outlaws and killers of innocence, they have become outlaws and murderers themselves."
23%,,,,And they will take that lonely path at their own peril.
24%,,,,"I'm speaking to you today from the Treaty Room of the White House, a place where American presidents have worked for peace."
24%,,,,We're a peaceful nation.
24%,,,,"Yet, as we have learned, so suddenly and so tragically, there can be no peace in a world of sudden terror."
24%,,,,"In the face of today's new threat, the only way to pursue peace is to pursue those who threaten it."
24%,,,,"We did not ask for this mission, but we will fulfill it."
24%,,,,The name of today's military operation is Enduring Freedom.
24%,,,,"We defend not only our precious freedoms, but also the freedom of people everywhere to live and raise their children free from fear."
24%,,,,I know many Americans feel fear today.
24%,,,,And our government is taking strong precautions.
24%,,,,"All law enforcement and intelligence agencies are working aggressively around America, around the world -- and around the clock."
24%,,,,"At my request, many governors have activated the National Guard to strengthen airport security."
24%,,,,We have called up reserves to reinforce our military capability and strengthen the protection of our homeland.
24%,,,,"In the months ahead, our patience will be one of our strengths -- patience with the long waits that will result from tighter security, patience and understanding that it will take time to achieve our goals, patience in all the sacrifices that may come."
24%,elevation,,,"Today, those sacrifices are being made by members of our armed forces who now defend us so far from home, and by their proud and worried families."
