progress	function	hostile	interesting	text
11%			implicit - refering to a policy rather than an person	"On the state's foreign policy, the memorandum exposed that policy's failures and disregard for Muslim causes and even support and backing for the enemies."
11%				"The (Gaza- Jericho) [agreement] and the case of the communists in southern Yemen are not too distant examples, and there are many others."
12%				"Upholding temporal laws and supporting heretics against Muslims are prohibited in Islam, as the ulema have ruled."
12%				"God said ""whoever does not rule by God's law is a heretic,"" and He said: ""But no, by the Lord, they can have no (real) faith until they make thee judge in all disputes between them, and find in their souls no resistance against thy decisions, but accept them with the fullest conviction"" [Koranic verses]."
12%				"Although the memorandum submitted all that leniently and gently, as a reminder of God and as good advice in a gentle, objective, and sincere way, despite the importance and necessity of advice for rulers in Islam, and despite the number and positions of the signatories of the memorandum and their sympathizers, it was of no avail."
12%				"Its contents were rejected and its signatories and sympathizers were humiliated, punished, and imprisoned."
12%	elevation			The preachers' and reformers' eagerness to pursue peaceful reform methods in the interest of the country's unity and to prevent bloodshed was clearly demonstrated.
12%	othering			So why should the regime block all means of peaceful reform and drive the people toward armed action?
12%	othering		long sentence for testing	"That was the only door left open to the public for ending injustice and upholding right and justice, and in whose interests do Prince Sultan and Prince Nayif plunge the country and the people into an internal war that would destroy everything, enlisting the aid and advice of those who fomented internal sedition in their country and using the people's police force to put down the reform movement there and pit members of the public one against the other leaving the main enemy in the region, namely the Jewish-American alliance, safe and secure, having found such traitors to implement its policies aimed at exhausting the nation's human and financial resources internally."
13%				The person whom Interior Minister Prince Nayif is consulting [not further identified] was not tolerated in his own country because of his extreme dirt and affront to his people.
13%				"He was dismissed from his post but came to be received by Prince Nayif with open arms, for cooperation on sin and aggression."
13%				"He filled the prisons with the nation's best sons, bringing tears to the eyes of the mothers whose sons were jailed unfairly."
13%	othering			"Does the regime want to pit the public, civilians and military, against one another as was the case in some neighboring countries?"
13%	othering			"I have no doubt that that is the policy of the Israeli-American enemy alliance, the main beneficiary of all that."
13%				"But, thank God, the vast majority of the people, civilians and military, are aware of that sinister plan and will not allow themselves to be an instrument for strikes against one another in implementation of the policy of the main enemy, namely the Israeli-American alliance, through the Saudi regime, its agent in the country."
13%	othering			"That is why everyone agrees that ""a crooked stick cannot have a straight shadow"" and that there must be concentration on hitting the main enemy who has thrust the nation into whirlpools and labyrinths for decades since dividing it into states and statelets."
14%	othering			"Whenever a reform movement appears in the Islamic states, that Jewish-crusade alliance pushes its agents in the region, the rulers, to exhaust and abort such a reform movement by various suitable means, sometimes aborting it by luring it to armed confrontation, for which it chooses the time and place and through which it would nip it in the bud."
14%				"Sometimes he would set loose his men in the Interior Ministry, who had graduated from Shari'ah colleges, to confuse and undermine the reform march and to draw the nation and the people away from that march, sometimes luring some righteous men to enter into a war of words with the ulema and the symbols of the reform movement to exhaust everyone's energy and keep the great heresy in control of the nation, misleading it and continuing the peripheral discussions while the worship of God and adherence to his Shari'ah are absent in reality."
14%				"In these discussions and responses right and wrong get mixed up and often lead to personal enmities, with some people taking sides, thereby further dividing and weakening the nation, so that Islamic action priorities disappear."
14%				One should beware of these and similar diabolical tricks by the Interior Ministry.
14%				"The appropriate behavior in such cases is what has been advised by the ulema, such as what the late Shaykh al-Islam Ibn-Taymiyah said, namely that all Muslims should join hands in warding off the great heresy controlling the Islamic world while sustaining minimum damage to prevent the greater damage which is in the fact the great heresy."
14%				When duties are numerous the most important takes priority.
14%	othering			"It is no secret that warding off that American enemy is the top duty after faith, and nothing should take priority over it, as decreed by the ulema."
14%				"Shaykh al-Islam Ibn-Taymiyah said: ""Fighting in self-defense is the strongest way of warding off harm to honor and religion, and it is a collective duty."
15%				Warding off an enemy who corrupts religion and the world is a top duty after faith.
15%				"It is unconditional and is done according to means."""
15%				"If warding off that aggressive enemy becomes impossible without all Muslims of all walks and ranks getting together, then that is their duty and they should in that case overlook some disputed issues."
15%				Overlooking such disputes at this stage is less harmful than continuation of the great heresy afflicting the countries of the Muslims.
15%				"That is why Shaykh al-Islami, explaining that matter, pointed out a main and great principle which should be taken into account, which is that work should concentrate on warding off the greater of the two evils."
15%				"Referring to the state of the mujahidin and Muslims, he said that if among them there happened to be very sinful soldiers, that would not justify abandoning the jihad against the aggressive enemy."
15%				"After discussing the case of the Tatars and their change of God's laws, he, may God have mercy on his soul, said that ""agreement on fighting them fully would please God, uphold his word, and establish his religion and obedience to his Prophet."
16%				"If some among them [Muslims] happen to be sinful and ill intentioned, fighting for leadership or offending others on some matters, and if the religious harm of not fighting them is greater than the harm of fighting them, then the duty is to fight them to ward off the greater harm."
16%	elevation			"That is why one of the principles of the Sunnah and the [Prophet's] group is to do conquest using every good as well as sinful person, for God supports this in the interest of the cause of religion because, as the Prophet, may God's prayers and blessings be upon him, said, if conquest can only be achieved with the help of sinful princes or very sinful soldiers, then one of two things must be done:"
16%				"Either abandon the conquest with their cooperation, which means the greater harm of others taking over, or proceed with the conquest along with the sinful princes, and that way the greater harm is avoided and most of the rules of Islam are established, if not all."
16%				That would be the duty in that case and in all similar cases.
16%				"In fact many of the conquests which took place after the orthodox caliphs took place in that way."""
16%			implicit - reference to aggressive enemy	What is necessary in such a case is that everyone should do his best to incite and mobilize the nation against the aggressive enemy and the great heresy prevailing in the country and corrupting religion and life.
16%	othering			"There is no greater duty after faith than warding [daf'] off [that enemy], namely the Israeli-American alliance occupying the land of the two holy mosques and the land of the ascension of the Prophet, may God's prayers and blessings be upon him."
17%				"The Muslims are reminded that they should avoid infighting between sons of the Muslim nation because that will have dire consequences, the most important being:"
17%				1
17%				"Exhaustion of human resources ""as most of the casualties and victims would be from the Muslim people."""
17%				2
17%				Exhaustion of financial resources.
17%				3
17%				Destruction of the state's infrastructure.
18%				4
18%				Disintegration of society.
18%				5
18%	othering			"Destruction of the oil industries, because the presence of the crusader and American military forces in the Islamic Gulf states, on land, in the air, and at sea, represents the greatest danger and harm and the greatest threat to the largest oil reserves in the world."
18%	othering			"That presence is a provocation to the people and an affront to their religion, feelings, and dignity, and has driven them toward armed struggle against the occupying invaders."
18%				"A spread of fighting in these areas would carry the danger of the oil burning which would be detrimental to the economic interests of the Gulf states and the land of the two holy mosques, and in fact to the world economy."
18%	elevation			"Here we pause and urge our brothers the people, the mujahidin, to preserve that wealth and not to involve it in the battle because it is a great Islamic wealth and a great and important economic power for the coming Islamic state, God willing."
19%		Hostile		"We also firmly warn the aggressive United States against burning that Islamic wealth at the end of the war for fear of it falling into the hands of its legitimate owners and to harm its economic rivals in Europe and the Far East, especially Japan, which is considered the main consumer of the region's oil."
19%				6
19%				"Partition of the country of the two holy mosques with Israel taking the northern part Partition of the land of the two holy mosques is considered to be an urgent demand of the Jewish-crusade alliance, because the existence of a state of such size and with such resources under sound Islamic rule, which, God willing, is coming, would be a threat to the Jewish entity in Palestine, for the land of the two holy mosques would be a symbol for the unity of the Islamic world because of the presence of the holy Ka'bah, the qiblah of all Muslims."
19%	elevation			"Furthermore, the land of the two holy mosques is an important economic power in the Islamic world because it has the largest oil reserves in the world."
19%	elevation			"Furthermore, the people of the two holy mosques are linked to the history of their predecessors, the Prophet's companions, whom they see as the example to follow and the ideal to uphold in restoring the nation's glory and upholding the will of God."
19%				That is in addition to the strategic depth and extended manpower fighting for God in happy Yemen.
19%	elevation			"As the Prophet, may God's prayers and blessings be upon him, said, ""and from Aden and Abyan would come 12,000 who would support God and his Prophet, and they are among the best of us."""
19%				That would constitute a threat to the presence of the Jewish-crusade alliance in the region.
20%				7
20%				Any infighting under whatever pretext while the American occupation forces are still present would be a grave danger because these forces would seek to settle the battle in favor of world heresy.
20%	elevation			"Our brothers in the Armed Forces, National Security, and security forces, may God preserve you as defenders of Islam and Muslim:"
20%	elevation			"O protectors of monotheism and guardians of the faith; O successors of those who spread the light of guidance in the world; O grandsons of Sa'd Bin-Abi-Waqqas, al-Muthanna Bin-Harithah al-Shibani, al-Qa'qa' Bin-'Amr al-Tamimi, and the companions who fought alongside them:"
20%	elevation			"You rushed to join the Army and the Guard merely to join the jihad for the cause of God in order to spread the word of God and to defend Islam and the land of the two holy mosques against invaders and occupiers, which is the highest degree of belief in religion."
20%	othering			"But the regime disrupted the balances, distorted the concepts, humiliated the nation, and disobeyed the nation."
20%	othering		long sentence for testing	"Although the nation still has not recovered its first qiblah and the point of the Prophet's midnight journey to the seven heavens [al-Aqsa Mosque] despite the promises made by the rulers over half a century to work to recover it, but instead, the al-Aqsa Mosque has been handed to the Jews, and the nation's wounds are still bleeding - despite all this, the Saudi regime shocked the nation by bringing the women of Christian armies to defend it and opening the country of the two holy mosques to the crusaders."
21%				"There is nothing strange about that, since the [Saudi] king has been decorated by a cross."
21%	othering			The regime opened the country which is now full of the armies of the United States and its allies.
21%	othering			Because the regime is impotent without their help.
21%				"You - better than anyone else - are aware of this presence, its scale, aims, and danger."
21%	othering			So the regime has betrayed the nation and allied with and supported the infidels against Muslims.
21%				"As is known, this is one of the contradictions in Islam."
21%	othering			"By opening the Arabian Peninsula to the crusaders, the regime has violated the Prophet's will to his nation before his death: ""Move the atheists out of the Arabian Peninsula."""
22%				"He also said: ""If I live, God willing, I will move the Jews and the Christians out of the Arabian Peninsula."""
22%	othering			"The claim that the crusaders' presence in the land of the two holy mosques is a necessity and a temporary matter aimed at defending this land is an old and obsolete story, especially after the brutal destruction of Iraq and its military and civilian infrastructures."
22%				This claim reflects the scale of the crusaders' and Jews' spite toward Muslims and their children.
22%				And the regime also insisted on not replacing the crusader forces with Islamic forces from among the country's sons and elsewhere.
22%	othering			"Besides, this claim is no longer valid following the statements made by the leaders of atheism in the United States, the most recent being that of US Defense Secretary William Perry after the al-Khubar blast targeting US troops."
22%				He said that their presence in the land of the two holy mosques is aimed at protecting US interests.
22%	elevation			Shaykh Safar al-Hawali - may God help him - wrote a 70-page book in which he listed evidence and proofs that the US presence in the Arabian Peninsula is a pre-planned military occupation.
23%				"The claim is another trick by the regime, but it will not fool Muslims as its first trick fooled the Palestinian mujahidin."
23%				The first trick resulted in the al-Aqsa Mosque being lost.
23%	othering			"When the Muslim people in Palestine rose up in their great jihad against the British occupation in 1354 H, corresponding to 1936, Britain failed to stop the mujahidin or their jihad."
23%	othering			"Their devil inspired them that the armed jihad in Palestine can only be stopped through their agent, King 'Abd-al-'Aziz, who they believed was capable of deceiving the mujahidin."
23%				And indeed King 'Abd-al-'Aziz carried out his mission by sending his two sons to meet with mujahidin leaders in Palestine and inform him of King 'Abd-al-'Aziz' pledge to guarantee the British Government's promises that it would withdraw and meet their demands if they halted the jihad.
23%	othering			So King 'Abd-al-'Aziz was behind the loss of the Muslims' first qiblah.
23%	othering			He allied himself with the Christians against Muslims.
24%	othering			"And he abandoned the mujahidin, instead of espousing the al-Aqsa Mosque issue and supporting those struggling for the sake of God's cause."
24%	othering			"And here is his son, King Fahd, trying to fool Muslims with the second trick in order to squander our remaining holy sites."
24%	othering			He lied to the ulema who sanctioned the Americans' entry and he lied to the Islamic world's ulema and leaders at the [World Muslim] League's conference in holy Mecca in the wake of the Islamic world's condemnation of the crusader forces' entry into the country of the two holy mosques on the pretext of defending it.
24%				He told them that the matter was simple and that the US and coalition troops would leave in a few months.
24%				And here we are approaching the seventh year since their arrival and the regime is unable to move them out.
24%				The regime does not want to admit to its people its inability to do so.
24%	othering			It has continued to lie to people and claim that the Americans will depart...which is impossible.
25%				"Once bitten, twice shy."
25%				The happy ones are those who learn from others' experiences.
25%	othering			"Instead of pushing the Army, the Guard, and the security men to confront the occupiers, the regime is using them to protect the occupiers, which is the highest degree of humiliation, insult, and treason."
25%	elevation			May God give us strength.
25%		Hostile		"We remind the minority of people in the Army, police, Guard, and security forces, who are being humiliated by the regime to get them to encroach on Muslims' rights and lives, of Almighty God's words in the divine hadith: ""I declare war on those who are hostile toward holy men."""
25%				"And also of the Prophet's saying: ""A man will come holding the hand of another, saying: O God, this man killed me [talking about the Day of Judgment], so God will say to him: Why did you kill him?"
25%				He will reply: I killed him so that glory would be yours.
25%				God will say: It is mine.
26%				"Another man will come holding another's hand and saying: O God, this man killed me."
26%				God will say to him: Why did you kill him?
26%				He will say: To achieve glory for such and such.
26%				"God will tell him: It [glory] does not belong to such and such; he will be punished for his sins."""
26%				"The Prophet is also reported to have said: ""The murdered will come on the Day of Judgment, clinging to his murderer."
26%				So God will say: Why did you kill him?
26%				"He will say: To appease such and such."""
27%	elevation			"Your brothers and sons, the sons of the two holy mosques, have launched the jihad for the sake of God's cause to expel the occupying enemy from the country of the two holy mosques."
27%	elevation			Without doubt you wish to carry out this mission in order to restore the nation's glory and liberate its occupied holy sites.
27%				But you are aware that this stage requires the adoption of suitable combat methods due to the lack of parity between our regular Armed Forces and the enemy's forces.
27%				"Namely, through light and fast [khafifah wa sari'at alharakah] forces operating in complete secrecy."
27%				"In other words, by waging guerrilla warfare in which the people's sons other than the Armed Forces take part."
27%				"As is known, it is wise at this stage to spare the Armed Forces the task of engaging in traditional fighting with the crusader enemy's forces."
27%				"This is with the exception of daring and powerful operations carried out separately by individuals from the Armed Forces, that is, without mobilizing regular forces with their traditional formations, and in a manner that would not reflect adversely on the Army, unless there are great interests to be gained and heavy losses to inflicted on the enemy - losses that destroy its foundations and rock its Pillars - losses that help to expel the enemy, routed, ensuring that no Muslim blood is shed in the process."
28%				What your mujahidin brothers and sons want from you at this stage is to provide every possible support: information and the materials and arms needed for their work.
28%				"And they want the security men - in particular - to turn a blind eye and deceive the enemy about their whereabouts, spread false rumors among its ranks, and do whatever is viable to help the mujahidin against the occupying enemy."
28%	othering			"We alert you to the fact that the regime might carry out operations against members of the Armed Forces, Guard, or security forces and try to attribute them to the mujahidin with a view to driving a wedge between them and you."
28%				So the regime should be denied that opportunity.
28%	othering			"While we know that the regime is fully responsible for what has afflicted the country and the people, the main disease and the cause of the affliction is the occupying US enemy."
28%		Hostile	co-referencing to him	"So efforts should be pooled to kill him, fight him, destroy him."
28%				"We should lie in wait for him until he is defeated, God willing."
29%	othering	Hostile		"The time will come, God willing, for you to play your role in settling the situation in order to exalt the word of God to the heights, humble the unbelievers' word to the depths, hit the aggressors with an iron fist, put matters right, and perform your true Islamic duty."
29%				"We will have a separate discussion about these issues, God willing."
29%				"Muslim brothers everywhere, the Arabian Peninsula in particular:  The money paid for US goods is turning into bullets [fired at] the chests of our brothers in Palestine, and tomorrow the chests of the sons of the country of the two holy mosques; by buying their goods we are strengthening their economy while we continue to become poorer."
29%				Muslim brothers in the country of the two holy mosques:
29%				"Is it reasonable for our country to be the biggest importer of US arms in the world, a trade partner of the Americans in the region - the Americans who are occupying the country of the two holy mosques and supporting their Jewish brothers with money, arms, and men to occupy Palestine and kill and displace Muslims there?!!"
29%				Denying these aggressors the huge profits they make from their trade with us would be a very important help in the jihad against them.
29%				It would be tantamount to moral support to reflect our anger and hatred toward them.
30%				"By doing that we will have contributed to ridding our holy sites of the Jews and Christians and forced them to leave our land, defeated, God willing."
30%				We expect women in the country of the two holy mosques and elsewhere to play their role by boycotting US goods.
30%				"If the economic boycott is coupled with the mujahidin's military strikes, then the enemy's defeat is imminent, God willing - and vice versa:"
30%				"If the Muslims do not cooperate with and support their mujahidin brothers by severing economic dealings with the US enemy, then they are paying him money, which is the foundation of wars and armies, hence prolonging the war and the Muslims' suffering from it."
30%				Security and intelligence services in the world cannot force a citizen to purchase his enemies' goods.
30%	othering			"The economic boycott of the US enemy's goods is an extremely effective weapon, in order to weaken and harm the enemy."
30%				"Nevertheless, this weapon does fall under the supervision of the repressive organs."
31%				"Before concluding, we have an important, very important, discussion with young Muslims, the men of the bright future of Muhammad's nation."
31%	elevation			Our discussion with the young men is about their duty at this difficult stage in the history of our nation - the stage in which no one except the young men - may God protect them - have performed their duty in all directions.
31%	elevation			"After those who hesitated to perform their duty to defend Islam and rescue themselves and property from the oppression, repression, and terrorism exercised by the state, the young men, may God protect them, moved forward to raise the banner of the jihad against the US-Jewish alliance which occupied Islamic holy sites, while others, as a result of the state's terrorism, moved forward to grant legitimacy to this great treason and big disaster: the occupation of the country of the two holy mosques."
31%	elevation			May God give us strength.
31%				The is nothing strange about this: Muhammad's companions were young men.
31%				And the young men of today are the successor of the early ones.
31%	elevation		a bad event but expressed positively	"It was the young men who killed this nation's tyrant, Abu-Jahl."
31%				"'Abd-al-Rahman Bin-'Awf, may God be pleased with him, said: A young man told me: I heard that Abu-Jahl insulted the Prophet, peace be upon him."
32%				A companion [of Muhammad] said: I swear by God that if I see him I will fight with him until the strongest wins.
32%	elevation			God is great.
32%				This is how the young companions behaved.
32%		Hostile		"Two young men asking one another about the most important target among the enemy's ranks, namely to kill the tyrant of this nation and the leader of the atheists in Badr, namely Abu-Jahl. '"
32%				Abd-al-Rahman Bin-'Awf's role was to tell them about Abu-Jahl's whereabouts.
32%				This is the role required from those who have knowledge and experience about the enemy's most vulnerable spots.
32%				They are required to guide their sons and brothers to these spots.
33%				"Then the young men will say what their predecessors said: ""By God, if I see him, I will fight with him until the strongest wins."""
33%				'Abd-al-Rahman Bin-'Awf's story about Umayyah Bin-Khalaf reflects the extent of Bilal's insistence on killing the head of atheism.
33%				"He said ""The head of atheism is Umayyah Bin-Khalaf — no life for me if he survives."""
33%				"A few days ago news agencies carried a statement by the occupier-crusader, the US defense secretary, in which he said that he has learned one lesson from the Riyadh and al-Khubar blasts, namely not to retreat in front of the terrorist cowards."
33%	othering			We tell the defense secretary that this talk makes people laugh and reflects the scale of your fears.
33%	othering			"Where was that false courage in Beirut after the bombings of 1403H, corresponding to 1983, which dismembered you by killing 241 soldiers, most of them from the Marines?"
33%	othering			Where was that false courage in Aden following two bombing incidents which caused you to depart in less than 24 hours?
34%	othering			But your great scandal was in Somalia.
34%				"After several months of media propaganda about the United States' might after the Cold War and its leadership of the new world order, you poured tens of thousands of international troops, including 28,000 Americans, into Somalia."
34%	othering			"However, after minor battles in which scores of your troops were killed and a US pilot's body was dragged through the streets of Mogadishu, you left the country, defeated and carrying your dead."
34%				"Clinton emerged before the world, threatening to take revenge."
34%				But the threat was a prelude to the withdrawal process.
34%	othering			God shamed you and you had to pull out.
34%	othering			Your impotence and weakness were evident.
35%	othering			"The picture of you being defeated in the three Islamic cities (Beirut, Aden, and Mogadishu) pleased every Muslim and believer."
